Opt. Const. of Si vs. eV
eV	n	k
4.960000	1.683594	3.708435	
4.769231	1.802324	4.167128	
4.592593	2.179194	4.775420	
4.428571	3.108246	5.403376	
4.275862	4.542185	5.154986	
4.133333	5.153174	4.145528	
4.000000	5.147516	3.554142	
3.875000	5.165196	3.262831	
3.757576	5.238434	3.070257	
3.647059	5.357405	2.937243	
3.542857	5.563462	2.883322	
3.444444	6.083458	2.831449	
3.351351	6.900075	2.044558	
3.263158	6.591360	0.849425	
3.179487	5.996198	0.429460	
3.100000	5.596400	0.284058	
3.024390	5.321793	0.203887	
2.952381	5.107816	0.148969	
2.883721	4.932568	0.112849	
2.818182	4.787410	0.090355	
2.755556	4.666661	0.076612	
2.695652	4.565148	0.067887	
2.638298	4.478806	0.061914	
2.583333	4.404624	0.057410	
2.530612	4.340160	0.053663	
2.480000	4.283052	0.050332	
2.431373	4.232640	0.047279	
2.384615	4.187231	0.044414	
2.339623	4.146206	0.041707	
2.296296	4.108957	0.039154	
2.254545	4.075005	0.036736	
2.214286	4.043829	0.034448	
2.175439	4.015097	0.032283	
2.137931	3.988450	0.030237	
2.101695	3.963830	0.028308	
2.066667	3.941013	0.026489	
2.032787	3.919675	0.024771	
2.000000	3.899684	0.023147	
1.968254	3.880958	0.021626	
1.937500	3.863386	0.020186	
1.907692	3.846930	0.018834	
1.878788	3.831377	0.017554	
1.850746	3.816664	0.016359	
1.823529	3.802755	0.015227	
1.797101	3.789667	0.014163	
1.771429	3.777236	0.013167	
1.746479	3.765412	0.012227	
1.722222	3.754181	0.011341	
1.698630	3.743479	0.010510	
1.675676	3.733386	0.009733	
1.653333	3.723742	0.009002	
1.631579	3.714530	0.008316	
1.610390	3.705663	0.007672	
1.589744	3.697294	0.007069	
1.569620	3.689256	0.006503	
1.550000	3.681538	0.005974	
1.530864	3.674184	0.005478	
1.512195	3.667115	0.005015	
1.493976	3.660315	0.004582	
1.476190	3.653770	0.004177	
1.458824	3.647464	0.003799	
1.441860	3.641416	0.003449	
1.425287	3.635707	0.003126	
1.409091	3.630139	0.002824	
1.393258	3.624727	0.002543	
1.377778	3.619510	0.002282	
1.362637	3.614593	0.002042	
1.347826	3.609871	0.001823	
1.333333	3.605249	0.001620	
1.319149	3.600716	0.001430	
1.305263	3.596486	0.001263	
1.291667	3.592330	0.001108	
1.278350	3.588257	0.000965	
1.265306	3.584449	0.000839	
1.252525	3.580707	0.000725	
1.240000	3.577010	0.000619	
